Date;Time;PV_Power
7/24/22;17.0;46.72667
7/24/22;17.15;40.33
7/24/22;17.3;31.20333
7/24/22;17.45;25.07333
7/24/22;18.0;21.26667
7/24/22;18.15;17.35667
7/24/22;18.3;6.616667
7/24/22;18.45;4.5
7/24/22;19.0;4.5
7/24/22;19.15;3.833333
7/24/22;19.3;1.8
7/24/22;19.45;0.5
7/24/22;20.0;0.5
7/24/22;20.15;0.5
7/24/22;20.3;0.5
7/24/22;20.45;0.5
7/24/22;21.0;0.5
7/24/22;21.15;0.5
7/24/22;21.3;0.5
7/24/22;21.45;0.5
7/24/22;22.0;0.5
7/24/22;22.15;0.5
7/24/22;22.3;0.5
7/24/22;22.45;0.5
7/24/22;23.0;0.5
7/24/22;23.15;0.5
